# Exported by snowmicropyn 1.1.0 (git hash 810911e91ee489585bd69acfc72637e7a61b7dc0)
distance [mm],force [N]
176.5992,0.4330
176.6033,0.3840
176.6074,0.3509
176.6116,0.3800
176.6157,0.3986
176.6198,0.3880
176.6240,0.3734
176.6281,0.3814
176.6322,0.3734
176.6364,0.3535
176.6405,0.3509
176.6446,0.3535
176.6488,0.3628
176.6529,0.3734
176.6570,0.3363
176.6611,0.3588
176.6653,0.3483
176.6694,0.3390
176.6735,0.3575
176.6777,0.3641
176.6818,0.3575
176.6859,0.3562
176.6901,0.3655
176.6942,0.3628
176.6983,0.3456
176.7025,0.3615
176.7066,0.3681
176.7107,0.3761
176.7149,0.3761
176.7190,0.3655
176.7231,0.3668
176.7273,0.3880
176.7314,0.3721
176.7355,0.4025
176.7397,0.4065
176.7438,0.3747
176.7479,0.4065
176.7521,0.4277
176.7562,0.4131
176.7603,0.4025
176.7645,0.4078
176.7686,0.4436
176.7727,0.4621
176.7769,0.3933
176.7810,0.3814
176.7851,0.4184
176.7892,0.4436
176.7934,0.4409
176.7975,0.4343
176.8016,0.4449
176.8058,0.4145
176.8099,0.4303
176.8140,0.4462
176.8182,0.4502
176.8223,0.4092
176.8264,0.3986
176.8306,0.4184
176.8347,0.4303
176.8388,0.3999
176.8430,0.3535
176.8471,0.3681
176.8512,0.3708
176.8554,0.4237
176.8595,0.3655
176.8636,0.3456
176.8678,0.3588
176.8719,0.3946
176.8760,0.4330
176.8802,0.4608
176.8843,0.4409
176.8884,0.4714
176.8926,0.4754
176.8967,0.4078
176.9008,0.3933
176.9050,0.3946
176.9091,0.3761
176.9132,0.3893
176.9173,0.3761
176.9215,0.3761
176.9256,0.3880
176.9297,0.3615
176.9339,0.3681
176.9380,0.3814
176.9421,0.3893
176.9463,0.3681
176.9504,0.3549
176.9545,0.3602
176.9587,0.3734
176.9628,0.3972
176.9669,0.3893
176.9711,0.4052
176.9752,0.4303
176.9793,0.4171
176.9835,0.4039
176.9876,0.4065
176.9917,0.4105
176.9959,0.4356
177.0000,0.4118
177.0041,0.4052
177.0083,0.4224
177.0124,0.4237
177.0165,0.4277
177.0207,0.4489
177.0248,0.4423
177.0289,0.4251
177.0331,0.4317
177.0372,0.4356
177.0413,0.4330
177.0454,0.4039
177.0496,0.4052
177.0537,0.4118
177.0578,0.4211
177.0620,0.3906
177.0661,0.3840
177.0702,0.3906
177.0744,0.3919
177.0785,0.4039
177.0826,0.3747
177.0868,0.3747
177.0909,0.3535
177.0950,0.3456
177.0992,0.3443
177.1033,0.3310
177.1074,0.3602
177.1116,0.3800
177.1157,0.3933
177.1198,0.4025
177.1240,0.4237
177.1281,0.3827
177.1322,0.3827
177.1364,0.3959
177.1405,0.4025
177.1446,0.3840
177.1488,0.4224
177.1529,0.4078
177.1570,0.4131
177.1611,0.4198
177.1653,0.4092
177.1694,0.4118
177.1735,0.4092
177.1777,0.4211
177.1818,0.4370
177.1859,0.4383
177.1901,0.4078
177.1942,0.4118
177.1983,0.3999
177.2025,0.4025
177.2066,0.4039
177.2107,0.4370
177.2149,0.4343
177.2190,0.4409
177.2231,0.4211
177.2273,0.3867
177.2314,0.3972
177.2355,0.4012
177.2397,0.4290
177.2438,0.3800
177.2479,0.4145
177.2521,0.4171
177.2562,0.4025
177.2603,0.4184
177.2645,0.3853
177.2686,0.4052
177.2727,0.4277
177.2769,0.4568
177.2810,0.5005
177.2851,0.5111
177.2892,0.5204
177.2934,0.5230
177.2975,0.4939
177.3016,0.5191
177.3058,0.5535
177.3099,0.5323
177.3140,0.5085
177.3182,0.4979
177.3223,0.5045
177.3264,0.5257
177.3306,0.5177
177.3347,0.5045
177.3388,0.4780
177.3430,0.4992
177.3471,0.4939
177.3512,0.5270
177.3554,0.4820
177.3595,0.4820
177.3636,0.4860
177.3678,0.4370
177.3719,0.4224
177.3760,0.4211
177.3802,0.4529
177.3843,0.4793
177.3884,0.4502
177.3926,0.3959
177.3967,0.4039
177.4008,0.4251
177.4050,0.4489
177.4091,0.4502
177.4132,0.4966
177.4173,0.5257
177.4215,0.5217
177.4256,0.5085
177.4297,0.4833
177.4339,0.4727
177.4380,0.4568
177.4421,0.4846
177.4463,0.5469
177.4504,0.5932
177.4545,0.5773
177.4587,0.5310
177.4628,0.4913
177.4669,0.4529
177.4711,0.4184
177.4752,0.4184
177.4793,0.4317
177.4835,0.3972
177.4876,0.4211
177.4917,0.4582
177.4959,0.4767
177.5000,0.4608
177.5041,0.4436
177.5083,0.4409
177.5124,0.4926
177.5165,0.5045
177.5207,0.5151
177.5248,0.5204
177.5289,0.5217
177.5331,0.5085
177.5372,0.4727
177.5413,0.4886
177.5454,0.5164
177.5496,0.4608
177.5537,0.4555
177.5578,0.4555
177.5620,0.4158
177.5661,0.4224
177.5702,0.4476
177.5744,0.4542
177.5785,0.4211
177.5826,0.4356
177.5868,0.4568
177.5909,0.4701
177.5950,0.4780
177.5992,0.4966
177.6033,0.4833
177.6074,0.5204
177.6116,0.5283
177.6157,0.4542
177.6198,0.4542
177.6240,0.4966
177.6281,0.5111
177.6322,0.5389
177.6364,0.4913
177.6405,0.4568
177.6446,0.4635
177.6488,0.4648
177.6529,0.4542
177.6570,0.4926
177.6611,0.5350
177.6653,0.5641
177.6694,0.4939
177.6735,0.4979
177.6777,0.4356
177.6818,0.4396
177.6859,0.4092
177.6901,0.4317
177.6942,0.4529
177.6983,0.4568
177.7025,0.4317
177.7066,0.4542
177.7107,0.4476
177.7149,0.4515
177.7190,0.4793
177.7231,0.5005
177.7273,0.5164
177.7314,0.5191
177.7355,0.4767
177.7397,0.5005
177.7438,0.5336
177.7479,0.5734
177.7521,0.5681
177.7562,0.5376
177.7603,0.4701
177.7645,0.4290
177.7686,0.3919
177.7727,0.4092
177.7769,0.4237
177.7810,0.4489
177.7851,0.4621
177.7892,0.4966
177.7934,0.5416
177.7975,0.4992
177.8016,0.5297
177.8058,0.4913
177.8099,0.4754
177.8140,0.4568
177.8182,0.4793
177.8223,0.4899
177.8264,0.5230
177.8306,0.5350
177.8347,0.5389
177.8388,0.5363
177.8430,0.5588
177.8471,0.5919
177.8512,0.5932
177.8554,0.5853
177.8595,0.5111
177.8636,0.5456
177.8678,0.5045
177.8719,0.4237
177.8760,0.4317
177.8802,0.4648
177.8843,0.4913
177.8884,0.5403
177.8926,0.5244
177.8967,0.5363
177.9008,0.5522
177.9050,0.5111
177.9091,0.5098
177.9132,0.5535
177.9173,0.4899
177.9215,0.5098
177.9256,0.4793
177.9297,0.4555
177.9339,0.4648
177.9380,0.4846
177.9421,0.4674
177.9463,0.4264
177.9504,0.4661
177.9545,0.4529
177.9587,0.5085
177.9628,0.5045
177.9669,0.5310
177.9711,0.5773
177.9752,0.5760
177.9793,0.5283
177.9835,0.5164
177.9876,0.4648
177.9917,0.4317
177.9959,0.4423
178.0000,0.4635
178.0041,0.4767
178.0083,0.5058
178.0124,0.5535
178.0165,0.5164
178.0207,0.4529
178.0248,0.4621
178.0289,0.4211
178.0331,0.3893
178.0372,0.4317
178.0413,0.5005
178.0454,0.4886
178.0496,0.5072
178.0537,0.4688
178.0578,0.4224
178.0620,0.4621
178.0661,0.4979
178.0702,0.5191
178.0744,0.5350
178.0785,0.4635
178.0826,0.5019
178.0868,0.5138
178.0909,0.5244
178.0950,0.5032
178.0992,0.4899
178.1033,0.5032
178.1074,0.5072
178.1116,0.5098
178.1157,0.4886
178.1198,0.5085
178.1240,0.4833
178.1281,0.4966
178.1322,0.4714
178.1364,0.4926
178.1405,0.5204
178.1446,0.5270
178.1488,0.5548
178.1529,0.4979
178.1570,0.4595
178.1611,0.4793
178.1653,0.5204
178.1694,0.5019
178.1735,0.5535
178.1777,0.4873
178.1818,0.4065
178.1859,0.3893
178.1901,0.4078
178.1942,0.4251
178.1983,0.4542
178.2025,0.4436
178.2066,0.4237
178.2107,0.4290
178.2149,0.4727
178.2190,0.4793
178.2231,0.5032
178.2273,0.5111
178.2314,0.5032
178.2355,0.5535
178.2397,0.5601
178.2438,0.5336
178.2479,0.5416
178.2521,0.5681
178.2562,0.5773
178.2603,0.5892
178.2645,0.6250
178.2686,0.5866
178.2727,0.6091
178.2769,0.6634
178.2810,0.5747
178.2851,0.5879
178.2892,0.5787
178.2934,0.5403
178.2975,0.6157
178.3016,0.6078
178.3058,0.5058
178.3099,0.5389
178.3140,0.4992
178.3182,0.5257
178.3223,0.4886
178.3264,0.5124
178.3306,0.4396
178.3347,0.4595
178.3388,0.4701
178.3430,0.4793
178.3471,0.4343
178.3512,0.4383
178.3554,0.4767
178.3595,0.5124
178.3636,0.5548
178.3678,0.5244
178.3719,0.5098
178.3760,0.4608
178.3802,0.4595
178.3843,0.4688
178.3884,0.5191
178.3926,0.5230
178.3967,0.4833
178.4008,0.4966
178.4050,0.5204
178.4091,0.5217
178.4132,0.4992
178.4173,0.4793
178.4215,0.5217
178.4256,0.5257
178.4297,0.5257
178.4339,0.5164
178.4380,0.5230
178.4421,0.5495
178.4463,0.5124
178.4504,0.4807
178.4545,0.4913
178.4587,0.4860
178.4628,0.5138
178.4669,0.4502
178.4711,0.3840
178.4752,0.3919
178.4793,0.4078
178.4835,0.4290
178.4876,0.4330
178.4917,0.4396
178.4959,0.4688
178.5000,0.4992
178.5041,0.4595
178.5083,0.4303
178.5124,0.4317
178.5165,0.4542
178.5207,0.4529
178.5248,0.4542
178.5289,0.4529
178.5331,0.4873
178.5372,0.4701
178.5413,0.4674
178.5454,0.4820
178.5496,0.5177
178.5537,0.4820
178.5578,0.4635
178.5620,0.4952
178.5661,0.5058
178.5702,0.4674
178.5744,0.5416
178.5785,0.5416
178.5826,0.5800
178.5868,0.5707
178.5909,0.5866
178.5950,0.5813
178.5992,0.6250
178.6033,0.6753
178.6074,0.6197
178.6116,0.5575
178.6157,0.5614
178.6198,0.4754
178.6240,0.5191
178.6281,0.5469
178.6322,0.5548
178.6364,0.4582
178.6405,0.5217
178.6446,0.5787
178.6488,0.6078
178.6529,0.5495
178.6570,0.6051
178.6611,0.5985
178.6653,0.5694
178.6694,0.5257
178.6735,0.5045
178.6777,0.4807
178.6818,0.4754
178.6859,0.5111
178.6901,0.5495
178.6942,0.5654
178.6983,0.5045
178.7025,0.5072
178.7066,0.5548
178.7107,0.5217
178.7149,0.5191
178.7190,0.5124
178.7231,0.5376
178.7273,0.5601
178.7314,0.5575
178.7355,0.5429
178.7397,0.5416
178.7438,0.4727
178.7479,0.4793
178.7521,0.4913
178.7562,0.5588
178.7603,0.5959
178.7645,0.5985
178.7686,0.6051
178.7727,0.6276
178.7769,0.5892
178.7810,0.5879
178.7851,0.5826
178.7892,0.5734
178.7934,0.5826
178.7975,0.5270
178.8016,0.4555
178.8058,0.5005
178.8099,0.5124
178.8140,0.5270
178.8182,0.5310
178.8223,0.5906
178.8264,0.6104
178.8306,0.5654
178.8347,0.5032
178.8388,0.5323
178.8430,0.5760
178.8471,0.5641
178.8512,0.5522
178.8554,0.5800
178.8595,0.6210
178.8636,0.5707
178.8678,0.5310
178.8719,0.5204
178.8760,0.5628
178.8802,0.5853
178.8843,0.5840
178.8884,0.5522
178.8926,0.5972
178.8967,0.6303
178.9008,0.6369
178.9050,0.6687
178.9091,0.6435
178.9132,0.5720
178.9173,0.5575
178.9215,0.5575
178.9256,0.5350
178.9297,0.4688
178.9339,0.4423
178.9380,0.4462
178.9421,0.4701
178.9463,0.4595
178.9504,0.4860
178.9545,0.4846
178.9587,0.5310
178.9628,0.5495
178.9669,0.4926
178.9711,0.4595
178.9752,0.4184
178.9793,0.4343
178.9835,0.4661
178.9876,0.4409
178.9917,0.4621
178.9959,0.5098
179.0000,0.5244
179.0041,0.4595
179.0083,0.4714
179.0124,0.5310
179.0165,0.5495
179.0207,0.4780
179.0248,0.4754
179.0289,0.5270
179.0331,0.5681
179.0372,0.5588
179.0413,0.5522
179.0454,0.5892
179.0496,0.5085
179.0537,0.5456
179.0578,0.5336
179.0620,0.5720
179.0661,0.5985
179.0702,0.6263
179.0744,0.6329
179.0785,0.6171
179.0826,0.5628
179.0868,0.5945
179.0909,0.6263
179.0950,0.6713
179.0992,0.6329
179.1033,0.5747
179.1074,0.5575
179.1116,0.5760
179.1157,0.5456
179.1198,0.5032
179.1240,0.4979
179.1281,0.5601
179.1322,0.5575
179.1364,0.5283
179.1405,0.4529
179.1446,0.4648
179.1488,0.4873
179.1529,0.4648
179.1570,0.4833
179.1611,0.5403
179.1653,0.5522
179.1694,0.5892
179.1735,0.6290
179.1777,0.5840
179.1818,0.5389
179.1859,0.5124
179.1901,0.5019
179.1942,0.5336
179.1983,0.4926
179.2025,0.5323
179.2066,0.5416
179.2107,0.5508
179.2149,0.5469
179.2190,0.5323
179.2231,0.5177
179.2273,0.5350
179.2314,0.5456
179.2355,0.4926
179.2397,0.5019
179.2438,0.5217
179.2479,0.5667
179.2521,0.5879
179.2562,0.5561
179.2603,0.5363
179.2645,0.5429
179.2686,0.5561
179.2727,0.5336
179.2769,0.4966
179.2810,0.5283
179.2851,0.5032
179.2892,0.4714
179.2934,0.4674
179.2975,0.4992
179.3016,0.5495
179.3058,0.5588
179.3099,0.5853
179.3140,0.6343
179.3182,0.6581
179.3223,0.6118
179.3264,0.6144
179.3306,0.5614
179.3347,0.5283
179.3388,0.5734
179.3430,0.6224
179.3471,0.6647
179.3512,0.6621
179.3554,0.6091
179.3595,0.5760
179.3636,0.4846
179.3678,0.4966
179.3719,0.5005
179.3760,0.4793
179.3802,0.4740
179.3843,0.4688
179.3884,0.4688
179.3926,0.5297
179.3967,0.5548
179.4008,0.5429
179.4050,0.5336
179.4091,0.5323
179.4132,0.5667
179.4173,0.5641
179.4215,0.5826
179.4256,0.6078
179.4297,0.6528
179.4339,0.6197
179.4380,0.6250
179.4421,0.6078
179.4463,0.5813
179.4504,0.5879
179.4545,0.5773
179.4587,0.5456
179.4628,0.5376
179.4669,0.5760
179.4711,0.5787
179.4752,0.5985
179.4793,0.6038
179.4835,0.5826
179.4876,0.5879
179.4917,0.5866
179.4959,0.6197
179.5000,0.5932
179.5041,0.6038
179.5083,0.5694
179.5124,0.5694
179.5165,0.6025
179.5207,0.5959
179.5248,0.5323
179.5289,0.4913
179.5331,0.5667
179.5372,0.5257
179.5413,0.4952
179.5454,0.4899
179.5496,0.5323
179.5537,0.5389
179.5578,0.4873
179.5620,0.4939
179.5661,0.4886
179.5702,0.5098
179.5744,0.5945
179.5785,0.6422
179.5826,0.7111
179.5868,0.6621
179.5909,0.6118
179.5950,0.5879
179.5992,0.5959
179.6033,0.6224
179.6074,0.6250
179.6116,0.5456
179.6157,0.5429
179.6198,0.5164
179.6240,0.5164
179.6281,0.5389
179.6322,0.6369
179.6364,0.6409
179.6405,0.6422
179.6446,0.6462
179.6488,0.6634
179.6529,0.6184
179.6570,0.6793
179.6611,0.7005
179.6653,0.6488
179.6694,0.6886
179.6735,0.7217
179.6777,0.6303
179.6818,0.6555
179.6859,0.6184
179.6901,0.6462
179.6942,0.6952
179.6983,0.7071
179.7025,0.6515
179.7066,0.5879
179.7107,0.5654
179.7149,0.5376
179.7190,0.5442
179.7231,0.5853
179.7273,0.5840
179.7314,0.5177
179.7355,0.5403
179.7397,0.5734
179.7438,0.6210
179.7479,0.6660
179.7521,0.5945
179.7562,0.6488
179.7603,0.6329
179.7645,0.5826
179.7686,0.5760
179.7727,0.5853
179.7769,0.5416
179.7810,0.5336
179.7851,0.5164
179.7892,0.4939
179.7934,0.5032
179.7975,0.5270
179.8016,0.5204
179.8058,0.5456
179.8099,0.5072
179.8140,0.5297
179.8182,0.5217
179.8223,0.4952
179.8264,0.4899
179.8306,0.5032
179.8347,0.5204
179.8388,0.5469
179.8430,0.5323
179.8471,0.5244
179.8512,0.5389
179.8554,0.5151
179.8595,0.5495
179.8636,0.5204
179.8678,0.5032
179.8719,0.5138
179.8760,0.4820
179.8802,0.4674
179.8843,0.4608
179.8884,0.4462
179.8926,0.4396
179.8967,0.4529
179.9008,0.4979
179.9050,0.4595
179.9091,0.4939
179.9132,0.5191
179.9173,0.5297
179.9215,0.5297
179.9256,0.5005
179.9297,0.5111
179.9339,0.4926
179.9380,0.4966
179.9421,0.5098
179.9463,0.5072
179.9504,0.4966
179.9545,0.5138
179.9587,0.4846
179.9628,0.4860
179.9669,0.5085
179.9711,0.4833
179.9752,0.4303
179.9793,0.4621
179.9835,0.4383
179.9876,0.4515
179.9917,0.4489
179.9959,0.4621
180.0000,0.4383
180.0041,0.4078
180.0083,0.4356
180.0124,0.4237
180.0165,0.4383
180.0207,0.3814
180.0248,0.3893
180.0289,0.3694
180.0331,0.3496
180.0372,0.3377
180.0413,0.3615
180.0454,0.3761
180.0496,0.3509
180.0537,0.3628
180.0578,0.3641
180.0620,0.3615
180.0661,0.3694
180.0702,0.4052
180.0744,0.3867
180.0785,0.4065
180.0826,0.3906
180.0868,0.3827
180.0909,0.3972
180.0950,0.3919
180.0992,0.4105
180.1033,0.4409
180.1074,0.4820
180.1116,0.4621
180.1157,0.4608
180.1198,0.4621
180.1240,0.4621
180.1281,0.4952
180.1322,0.4899
180.1364,0.3496
180.1405,0.3324
180.1446,0.3628
180.1488,0.3814
180.1529,0.4025
180.1570,0.4171
180.1611,0.4356
180.1653,0.4012
180.1694,0.4343
180.1735,0.4423
180.1777,0.4727
180.1818,0.4780
180.1859,0.4701
180.1901,0.4449
180.1942,0.4502
180.1983,0.4542
180.2025,0.4370
180.2066,0.4092
180.2107,0.3774
180.2149,0.3734
180.2190,0.3390
180.2231,0.3562
180.2273,0.3483
180.2314,0.3602
180.2355,0.3774
180.2397,0.4184
180.2438,0.4131
180.2479,0.4317
180.2521,0.4383
180.2562,0.4118
180.2603,0.4370
180.2645,0.3734
180.2686,0.4052
180.2727,0.4158
180.2769,0.4145
180.2810,0.3986
180.2851,0.4078
180.2892,0.4158
180.2934,0.4105
180.2975,0.4145
180.3016,0.3999
180.3058,0.3840
180.3099,0.3933
180.3140,0.4264
180.3182,0.4370
180.3223,0.4131
180.3264,0.4065
180.3306,0.4370
180.3347,0.4476
180.3388,0.4688
180.3430,0.4820
180.3471,0.5072
180.3512,0.4780
180.3554,0.4807
180.3595,0.4979
180.3636,0.5072
180.3678,0.5124
180.3719,0.4886
180.3760,0.4952
180.3802,0.5151
180.3843,0.5124
180.3884,0.5151
180.3926,0.4754
180.3967,0.4343
180.4008,0.4171
180.4050,0.4370
180.4091,0.4502
180.4132,0.4635
180.4173,0.3999
180.4215,0.3734
180.4256,0.4105
180.4297,0.4303
180.4339,0.4383
180.4380,0.3919
180.4421,0.4290
180.4463,0.4251
180.4504,0.3906
180.4545,0.3933
180.4587,0.3959
180.4628,0.3734
180.4669,0.3853
180.4711,0.4264
180.4752,0.3972
180.4793,0.4330
180.4835,0.4555
180.4876,0.4356
180.4917,0.4131
180.4959,0.4065
180.5000,0.4118
180.5041,0.3919
180.5083,0.4105
180.5124,0.4383
180.5165,0.4608
180.5207,0.4939
180.5248,0.5257
180.5289,0.4833
180.5331,0.4740
180.5372,0.4754
180.5413,0.5124
180.5454,0.5164
180.5496,0.5032
180.5537,0.4661
180.5578,0.4343
180.5620,0.4039
180.5661,0.4383
180.5702,0.4237
180.5744,0.4356
180.5785,0.4661
180.5826,0.5058
180.5868,0.5283
180.5909,0.4608
180.5950,0.4198
180.5992,0.4436
180.6033,0.4330
180.6074,0.4542
180.6116,0.4582
180.6157,0.4714
180.6198,0.4846
180.6240,0.4913
180.6281,0.5442
180.6322,0.5244
180.6364,0.5085
180.6405,0.5124
180.6446,0.5482
180.6488,0.5456
180.6529,0.4873
180.6570,0.4793
180.6611,0.4582
180.6653,0.4065
180.6694,0.4065
180.6735,0.4555
180.6777,0.4489
180.6818,0.4131
180.6859,0.4383
180.6901,0.4515
180.6942,0.4860
180.6983,0.5204
180.7025,0.5164
180.7066,0.4952
180.7107,0.5204
180.7149,0.5336
180.7190,0.5442
180.7231,0.5654
180.7273,0.5734
180.7314,0.5548
180.7355,0.5429
180.7397,0.5442
180.7438,0.5310
180.7479,0.5244
180.7521,0.5508
180.7562,0.5787
180.7603,0.5972
180.7645,0.5998
180.7686,0.5932
180.7727,0.5336
180.7769,0.5244
180.7810,0.5416
180.7851,0.5191
180.7892,0.5508
180.7934,0.5747
180.7975,0.5098
180.8016,0.5588
180.8058,0.6157
180.8099,0.6091
180.8140,0.6065
180.8182,0.5892
180.8223,0.6382
180.8264,0.5932
180.8306,0.4807
180.8347,0.5019
180.8388,0.5124
180.8430,0.4939
180.8471,0.4502
180.8512,0.4608
180.8554,0.4952
180.8595,0.5191
180.8636,0.5522
180.8678,0.5350
180.8719,0.5469
180.8760,0.5376
180.8802,0.5628
180.8843,0.6065
180.8884,0.6290
180.8926,0.6171
180.8967,0.6237
180.9008,0.6263
180.9050,0.6409
180.9091,0.6475
180.9132,0.5601
180.9173,0.5323
180.9215,0.5164
180.9256,0.5058
180.9297,0.5323
180.9339,0.5442
180.9380,0.4939
180.9421,0.5442
180.9463,0.5588
180.9504,0.5310
180.9545,0.5548
180.9587,0.5985
180.9628,0.5972
180.9669,0.4542
180.9711,0.4754
180.9752,0.4661
180.9793,0.4449
180.9835,0.4793
180.9876,0.5019
180.9917,0.4740
180.9959,0.4701
181.0000,0.5005
181.0041,0.5204
181.0083,0.5164
181.0124,0.5363
181.0165,0.5124
181.0207,0.4979
181.0248,0.5151
181.0289,0.5548
181.0331,0.5350
181.0372,0.5495
181.0413,0.6131
181.0454,0.5667
181.0496,0.5866
181.0537,0.6078
181.0578,0.6065
181.0620,0.5853
181.0661,0.5654
181.0702,0.5853
181.0744,0.6316
181.0785,0.6568
181.0826,0.5601
181.0868,0.6118
181.0909,0.6224
181.0950,0.6382
181.0992,0.5720
181.1033,0.5879
181.1074,0.5548
181.1116,0.5508
181.1157,0.5787
181.1198,0.5840
181.1240,0.5124
181.1281,0.5508
181.1322,0.5350
181.1364,0.5495
181.1405,0.5389
181.1446,0.5654
181.1488,0.5800
181.1529,0.5707
181.1570,0.6065
181.1611,0.6157
181.1653,0.5707
181.1694,0.5230
181.1735,0.5469
181.1777,0.5124
181.1818,0.5177
181.1859,0.5787
181.1901,0.5482
181.1942,0.5866
181.1983,0.5363
181.2025,0.5760
181.2066,0.5522
181.2107,0.5482
181.2149,0.5191
181.2190,0.5416
181.2231,0.5866
181.2273,0.5919
181.2314,0.6171
181.2355,0.6210
181.2397,0.6422
181.2438,0.6793
181.2479,0.6065
181.2521,0.6276
181.2562,0.6435
181.2603,0.6435
181.2645,0.6727
181.2686,0.6608
181.2727,0.5456
181.2769,0.5111
181.2810,0.4542
181.2851,0.5072
181.2892,0.5456
181.2934,0.5217
181.2975,0.5350
181.3016,0.5694
181.3058,0.5429
181.3099,0.5641
181.3140,0.5363
181.3182,0.5019
181.3223,0.5164
181.3264,0.5045
181.3306,0.4635
181.3347,0.5032
181.3388,0.5588
181.3430,0.5429
181.3471,0.4568
181.3512,0.4317
181.3554,0.4635
181.3595,0.4383
181.3636,0.4423
181.3678,0.4635
181.3719,0.5151
181.3760,0.5297
181.3802,0.5681
181.3843,0.5694
181.3884,0.5495
181.3926,0.5204
181.3967,0.5111
181.4008,0.5469
181.4050,0.5932
181.4091,0.5350
181.4132,0.5482
181.4173,0.5297
181.4215,0.5191
181.4256,0.5548
181.4297,0.5985
181.4339,0.6343
181.4380,0.6144
181.4421,0.6528
181.4463,0.6912
181.4504,0.5575
181.4545,0.6038
181.4587,0.6449
181.4628,0.6660
181.4669,0.6833
181.4711,0.6992
181.4752,0.6912
181.4793,0.5747
181.4835,0.5720
181.4876,0.6131
181.4917,0.6541
181.4959,0.6846
181.5000,0.6806
181.5041,0.6144
181.5083,0.7084
181.5124,0.7508
181.5165,0.7455
181.5207,0.8024
181.5248,0.7707
181.5289,0.7985
181.5331,0.8554
181.5372,0.7720
181.5413,0.7044
181.5454,0.6621
181.5496,0.6329
181.5537,0.6197
181.5578,0.6025
181.5620,0.6157
181.5661,0.6488
181.5702,0.6369
181.5744,0.6647
181.5785,0.6780
181.5826,0.7058
181.5868,0.6594
181.5909,0.6224
181.5950,0.5972
181.5992,0.5879
181.6033,0.6727
181.6074,0.7111
181.6116,0.6846
181.6157,0.6237
181.6198,0.6144
181.6240,0.6449
181.6281,0.6753
181.6322,0.6475
181.6364,0.6065
181.6405,0.6131
181.6446,0.6382
181.6488,0.6276
181.6529,0.6462
181.6570,0.6502
181.6611,0.6555
181.6653,0.6343
181.6694,0.5945
181.6735,0.6475
181.6777,0.6382
181.6818,0.6660
181.6859,0.6435
181.6901,0.6184
181.6942,0.6422
181.6983,0.6713
181.7025,0.6819
181.7066,0.6515
181.7107,0.6290
181.7149,0.5151
181.7190,0.5164
181.7231,0.4754
181.7273,0.4939
181.7314,0.5270
181.7355,0.5588
181.7397,0.5747
181.7438,0.6104
181.7479,0.6184
181.7521,0.6449
181.7562,0.5972
181.7603,0.5098
181.7645,0.4979
181.7686,0.5072
181.7727,0.5350
181.7769,0.5376
181.7810,0.5866
181.7851,0.4913
181.7892,0.5376
181.7934,0.5919
181.7975,0.6369
181.8016,0.5959
181.8058,0.6316
181.8099,0.6078
181.8140,0.5760
181.8182,0.5813
181.8223,0.5998
181.8264,0.6144
181.8306,0.5548
181.8347,0.5456
181.8388,0.5230
181.8430,0.5813
181.8471,0.5840
181.8512,0.6237
181.8554,0.6290
181.8595,0.6184
181.8636,0.6396
181.8678,0.6833
181.8719,0.6872
181.8760,0.6674
181.8802,0.6025
181.8843,0.5919
181.8884,0.5892
181.8926,0.6051
181.8967,0.5985
181.9008,0.6343
181.9050,0.6965
181.9091,0.6621
181.9132,0.6303
181.9173,0.6237
181.9215,0.5972
181.9256,0.6409
181.9297,0.6157
181.9339,0.6462
181.9380,0.6939
181.9421,0.6833
181.9463,0.6912
181.9504,0.7071
181.9545,0.6488
181.9587,0.7362
181.9628,0.7985
181.9669,0.8329
181.9711,0.7455
181.9752,0.7521
181.9793,0.7640
181.9835,0.7534
181.9876,0.7243
181.9917,0.7270
181.9959,0.7177
182.0000,0.7217
182.0041,0.7508
182.0083,0.6939
182.0124,0.7389
182.0165,0.7495
182.0207,0.7614
182.0248,0.7932
182.0289,0.8183
182.0331,0.8382
182.0372,0.8144
182.0413,0.7548
182.0454,0.7217
182.0496,0.6939
182.0537,0.6899
182.0578,0.7044
182.0620,0.7468
182.0661,0.7746
182.0702,0.7164
182.0744,0.6978
182.0785,0.7323
182.0826,0.7932
182.0868,0.8197
182.0909,0.8117
182.0950,0.7932
182.0992,0.8011
182.1033,0.8130
182.1074,0.6793
182.1116,0.6660
182.1157,0.6276
182.1198,0.6475
182.1240,0.6727
182.1281,0.6872
182.1322,0.6502
182.1364,0.6382
182.1405,0.6171
182.1446,0.6555
182.1488,0.6356
182.1529,0.6184
182.1570,0.6700
182.1611,0.6939
182.1653,0.6952
182.1694,0.6793
182.1735,0.6475
182.1777,0.6886
182.1818,0.6541
182.1859,0.6555
182.1901,0.6568
182.1942,0.6303
182.1983,0.6740
182.2025,0.6488
182.2066,0.6012
182.2107,0.6144
182.2149,0.6224
182.2190,0.6568
182.2231,0.6581
182.2273,0.7058
182.2314,0.6727
182.2355,0.6846
182.2397,0.7097
182.2438,0.7428
182.2479,0.7640
182.2521,0.7720
182.2562,0.7534
182.2603,0.7097
182.2645,0.6846
182.2686,0.6634
182.2727,0.6025
182.2769,0.6104
182.2810,0.6210
182.2851,0.6118
182.2892,0.5535
182.2934,0.5787
182.2975,0.5773
182.3016,0.5906
182.3058,0.5760
182.3099,0.6290
182.3140,0.6687
182.3182,0.7614
182.3223,0.7760
182.3264,0.6872
182.3306,0.6753
182.3347,0.5972
182.3388,0.6647
182.3430,0.5866
182.3471,0.5866
182.3512,0.6091
